  1%|▊                                                                                                                                                         | 2/362 [00:03<11:18,  1.88s/it]The following columns in the training set don't have a corresponding argument in `LlamaForCausalLM.forward` and have been ignored: is_prior. If is_prior are not expected by `LlamaForCausalLM.forward`,  you can safely ignore this message.
{'loss': 1.8852, 'grad_norm': 5.146177291870117, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.6746, 'grad_norm': 4.232907295227051, 'learning_rate': 4.999895137916554e-06, 'epoch': 0.06}
{'loss': 1.8319, 'grad_norm': 5.972287178039551, 'learning_rate': 4.9995805604630595e-06, 'epoch': 0.06}
{'loss': 1.6426, 'grad_norm': 4.7080159187316895, 'learning_rate': 4.999056294029316e-06, 'epoch': 0.06}
{'loss': 1.8461, 'grad_norm': 5.383713722229004, 'learning_rate': 4.998322382595858e-06, 'epoch': 0.06}
{'loss': 1.5942, 'grad_norm': 5.261467933654785, 'learning_rate': 4.997378887730272e-06, 'epoch': 0.07}
{'loss': 2.0726, 'grad_norm': 5.818136215209961, 'learning_rate': 4.996225888582029e-06, 'epoch': 0.07}
{'loss': 2.2766, 'grad_norm': 4.755710124969482, 'learning_rate': 4.994863481875842e-06, 'epoch': 0.07}
{'loss': 1.5872, 'grad_norm': 4.107784748077393, 'learning_rate': 4.9932917819035545e-06, 'epoch': 0.07}
{'loss': 1.8343, 'grad_norm': 4.719145774841309, 'learning_rate': 4.991510920514556e-06, 'epoch': 0.08}
{'loss': 1.4826, 'grad_norm': 4.065223217010498, 'learning_rate': 4.989521047104713e-06, 'epoch': 0.08}
{'loss': 1.6265, 'grad_norm': 3.944444179534912, 'learning_rate': 4.987322328603843e-06, 'epoch': 0.08}
{'loss': 1.8092, 'grad_norm': 4.509215354919434, 'learning_rate': 4.98491494946171e-06, 'epoch': 0.09}
{'loss': 1.4939, 'grad_norm': 4.701743125915527, 'learning_rate': 4.982299111632546e-06, 'epoch': 0.09}
{'loss': 2.1219, 'grad_norm': 4.402172088623047, 'learning_rate': 4.979475034558115e-06, 'epoch': 0.09}
{'loss': 1.6406, 'grad_norm': 5.31001615524292, 'learning_rate': 4.9764429551493035e-06, 'epoch': 0.09}
{'loss': 1.9247, 'grad_norm': 4.561330795288086, 'learning_rate': 4.9732031277662405e-06, 'epoch': 0.1}
{'loss': 1.9993, 'grad_norm': 4.027752876281738, 'learning_rate': 4.969755824196967e-06, 'epoch': 0.1}
{'loss': 1.9633, 'grad_norm': 4.3513383865356445, 'learning_rate': 4.9661013336346295e-06, 'epoch': 0.1}
{'loss': 1.4228, 'grad_norm': 4.335476398468018, 'learning_rate': 4.962239962653224e-06, 'epoch': 0.1}
{'loss': 1.4061, 'grad_norm': 6.576515197753906, 'learning_rate': 4.9581720351818755e-06, 'epoch': 0.11}
{'loss': 1.3289, 'grad_norm': 3.813826560974121, 'learning_rate': 4.953897892477664e-06, 'epoch': 0.11}
{'loss': 1.8569, 'grad_norm': 4.074129104614258, 'learning_rate': 4.949417893096996e-06, 'epoch': 0.11}
{'loss': 1.7584, 'grad_norm': 4.3167948722839355, 'learning_rate': 4.944732412865528e-06, 'epoch': 0.12}
{'loss': 1.4663, 'grad_norm': 5.3673810958862305, 'learning_rate': 4.939841844846633e-06, 'epoch': 0.12}
{'loss': 2.1533, 'grad_norm': 4.292401313781738, 'learning_rate': 4.934746599308434e-06, 'epoch': 0.12}
{'loss': 1.8733, 'grad_norm': 5.269103527069092, 'learning_rate': 4.929447103689381e-06, 'epoch': 0.12}
{'loss': 1.8734, 'grad_norm': 4.90570592880249, 'learning_rate': 4.923943802562395e-06, 'epoch': 0.13}
{'loss': 1.4867, 'grad_norm': 4.985330581665039, 'learning_rate': 4.918237157597574e-06, 'epoch': 0.13}
{'loss': 1.0713, 'grad_norm': 3.669769287109375, 'learning_rate': 4.9123276475234625e-06, 'epoch': 0.13}
{'loss': 1.7906, 'grad_norm': 3.832663059234619, 'learning_rate': 4.906215768086891e-06, 'epoch': 0.14}
{'loss': 1.9961, 'grad_norm': 4.441832065582275, 'learning_rate': 4.899902032011388e-06, 'epoch': 0.14}
{'loss': 2.1676, 'grad_norm': 4.843710899353027, 'learning_rate': 4.893386968954171e-06, 'epoch': 0.14}
{'loss': 2.3233, 'grad_norm': 4.349515914916992, 'learning_rate': 4.886671125461708e-06, 'epoch': 0.14}
{'loss': 1.4869, 'grad_norm': 4.231883525848389, 'learning_rate': 4.87975506492387e-06, 'epoch': 0.15}
{'loss': 1.9377, 'grad_norm': 4.727383613586426, 'learning_rate': 4.872639367526672e-06, 'epoch': 0.15}
{'loss': 1.5655, 'grad_norm': 3.8574044704437256, 'learning_rate': 4.8653246302035975e-06, 'epoch': 0.15}
{'loss': 1.8669, 'grad_norm': 5.672788143157959, 'learning_rate': 4.857811466585523e-06, 'epoch': 0.15}
{'loss': 2.0804, 'grad_norm': 4.2134013175964355, 'learning_rate': 4.850100506949239e-06, 'epoch': 0.16}
{'loss': 1.5072, 'grad_norm': 3.495638370513916, 'learning_rate': 4.8421923981645825e-06, 'epoch': 0.16}
{'loss': 1.7809, 'grad_norm': 4.280218601226807, 'learning_rate': 4.834087803640162e-06, 'epoch': 0.16}
{'loss': 1.6579, 'grad_norm': 4.407888412475586, 'learning_rate': 4.825787403267713e-06, 'epoch': 0.17}
{'loss': 1.9442, 'grad_norm': 4.480740547180176, 'learning_rate': 4.817291893365055e-06, 'epoch': 0.17}
{'loss': 1.1064, 'grad_norm': 3.0976600646972656, 'learning_rate': 4.808601986617684e-06, 'epoch': 0.17}
{'loss': 1.5054, 'grad_norm': 3.7523653507232666, 'learning_rate': 4.79971841201898e-06, 'epoch': 0.17}
{'loss': 1.9647, 'grad_norm': 4.169281005859375, 'learning_rate': 4.790641914809057e-06, 'epoch': 0.18}
{'loss': 1.4996, 'grad_norm': 4.136040687561035, 'learning_rate': 4.781373256412241e-06, 'epoch': 0.18}
{'loss': 2.2624, 'grad_norm': 4.224308013916016, 'learning_rate': 4.771913214373195e-06, 'epoch': 0.18}
{'loss': 1.8943, 'grad_norm': 3.943627119064331, 'learning_rate': 4.7622625822916946e-06, 'epoch': 0.18}
{'loss': 1.6556, 'grad_norm': 3.8045549392700195, 'learning_rate': 4.752422169756048e-06, 'epoch': 0.19}
{'loss': 1.9982, 'grad_norm': 4.599681377410889, 'learning_rate': 4.7423928022751845e-06, 'epoch': 0.19}
{'loss': 2.0811, 'grad_norm': 3.934302806854248, 'learning_rate': 4.732175321209399e-06, 'epoch': 0.19}
{'loss': 2.0849, 'grad_norm': 4.039194107055664, 'learning_rate': 4.7217705836997745e-06, 'epoch': 0.2}
{'loss': 1.9713, 'grad_norm': 3.8424510955810547, 'learning_rate': 4.711179462596272e-06, 'epoch': 0.2}
{'loss': 1.3863, 'grad_norm': 3.645146608352661, 'learning_rate': 4.700402846384512e-06, 'epoch': 0.2}
{'loss': 2.002, 'grad_norm': 3.9479503631591797, 'learning_rate': 4.689441639111238e-06, 'epoch': 0.2}
{'loss': 1.6543, 'grad_norm': 5.152064800262451, 'learning_rate': 4.678296760308474e-06, 'epoch': 0.21}
{'loss': 1.5624, 'grad_norm': 3.8124592304229736, 'learning_rate': 4.666969144916389e-06, 'epoch': 0.21}
{'loss': 1.5867, 'grad_norm': 3.598886013031006, 'learning_rate': 4.655459743204865e-06, 'epoch': 0.21}
{'loss': 2.0331, 'grad_norm': 5.037684440612793, 'learning_rate': 4.643769520693774e-06, 'epoch': 0.22}
{'loss': 1.8309, 'grad_norm': 3.6779749393463135, 'learning_rate': 4.6318994580719885e-06, 'epoch': 0.22}
{'loss': 1.9937, 'grad_norm': 4.756260395050049, 'learning_rate': 4.619850551115105e-06, 'epoch': 0.22}
{'loss': 1.7226, 'grad_norm': 3.845346450805664, 'learning_rate': 4.607623810601915e-06, 'epoch': 0.22}
{'loss': 2.1093, 'grad_norm': 4.808867931365967, 'learning_rate': 4.5952202622296015e-06, 'epoch': 0.23}
{'loss': 1.925, 'grad_norm': 3.795180320739746, 'learning_rate': 4.582640946527709e-06, 'epoch': 0.23}
{'loss': 1.9406, 'grad_norm': 4.258615493774414, 'learning_rate': 4.569886918770836e-06, 'epoch': 0.23}
{'loss': 1.896, 'grad_norm': 3.7444210052490234, 'learning_rate': 4.5569592488901225e-06, 'epoch': 0.23}
{'loss': 1.2839, 'grad_norm': 3.0874686241149902, 'learning_rate': 4.5438590213834875e-06, 'epoch': 0.24}
{'loss': 1.4814, 'grad_norm': 3.39839506149292, 'learning_rate': 4.530587335224649e-06, 'epoch': 0.24}
{'loss': 2.0212, 'grad_norm': 4.954063415527344, 'learning_rate': 4.517145303770938e-06, 'epoch': 0.24}
{'loss': 1.6103, 'grad_norm': 3.561352252960205, 'learning_rate': 4.5035340546698915e-06, 'epoch': 0.25}
{'loss': 1.2959, 'grad_norm': 3.0264663696289062, 'learning_rate': 4.489754729764663e-06, 'epoch': 0.25}
{'loss': 1.761, 'grad_norm': 4.274446964263916, 'learning_rate': 4.475808484998226e-06, 'epoch': 0.25}
{'loss': 2.0295, 'grad_norm': 4.204948425292969, 'learning_rate': 4.461696490316407e-06, 'epoch': 0.25}
{'loss': 1.5376, 'grad_norm': 4.729791164398193, 'learning_rate': 4.447419929569736e-06, 'epoch': 0.26}
{'loss': 1.7849, 'grad_norm': 3.8165032863616943, 'learning_rate': 4.432980000414137e-06, 'epoch': 0.26}
{'loss': 1.1547, 'grad_norm': 4.411324977874756, 'learning_rate': 4.4183779142104556e-06, 'epoch': 0.26}
{'loss': 1.3234, 'grad_norm': 4.971133708953857, 'learning_rate': 4.4036148959228365e-06, 'epoch': 0.26}
{'loss': 1.8166, 'grad_norm': 3.9213874340057373, 'learning_rate': 4.3886921840159645e-06, 'epoch': 0.27}
{'loss': 2.0829, 'grad_norm': 4.086613655090332, 'learning_rate': 4.373611030351168e-06, 'epoch': 0.27}
{'loss': 1.6169, 'grad_norm': 3.574021577835083, 'learning_rate': 4.358372700081403e-06, 'epoch': 0.27}
{'loss': 1.6301, 'grad_norm': 3.6148335933685303, 'learning_rate': 4.342978471545118e-06, 'epoch': 0.28}
{'loss': 1.6239, 'grad_norm': 3.7836484909057617, 'learning_rate': 4.327429636159014e-06, 'epoch': 0.28}
{'loss': 2.1587, 'grad_norm': 4.228541851043701, 'learning_rate': 4.311727498309711e-06, 'epoch': 0.28}
{'loss': 2.2763, 'grad_norm': 4.481293678283691, 'learning_rate': 4.295873375244319e-06, 'epoch': 0.28}
{'loss': 1.2319, 'grad_norm': 3.236553430557251, 'learning_rate': 4.279868596959941e-06, 'epoch': 0.29}
{'loss': 1.5525, 'grad_norm': 4.308692455291748, 'learning_rate': 4.263714506092091e-06, 'epoch': 0.29}
{'loss': 1.5351, 'grad_norm': 3.7521488666534424, 'learning_rate': 4.2474124578020716e-06, 'epoch': 0.29}
{'loss': 2.3708, 'grad_norm': 4.756343841552734, 'learning_rate': 4.2309638196632784e-06, 'epoch': 0.3}
{'loss': 1.7898, 'grad_norm': 3.6528728008270264, 'learning_rate': 4.214369971546486e-06, 'epoch': 0.3}
{'loss': 1.6129, 'grad_norm': 3.630174398422241, 'learning_rate': 4.197632305504082e-06, 'epoch': 0.3}
{'loss': 2.0776, 'grad_norm': 4.2525954246521, 'learning_rate': 4.1807522256532925e-06, 'epoch': 0.3}
{'loss': 2.302, 'grad_norm': 4.2687530517578125, 'learning_rate': 4.163731148058392e-06, 'epoch': 0.31}
{'loss': 1.5431, 'grad_norm': 3.8178348541259766, 'learning_rate': 4.146570500611907e-06, 'epoch': 0.31}
{'loss': 1.674, 'grad_norm': 3.915550708770752, 'learning_rate': 4.129271722914834e-06, 'epoch': 0.31}
{'loss': 1.508, 'grad_norm': 3.5676522254943848, 'learning_rate': 4.111836266155868e-06, 'epoch': 0.31}
{'loss': 1.9705, 'grad_norm': 3.6503424644470215, 'learning_rate': 4.094265592989668e-06, 'epoch': 0.32}
{'loss': 1.5476, 'grad_norm': 5.523667812347412, 'learning_rate': 4.076561177414149e-06, 'epoch': 0.32}
{'loss': 1.9736, 'grad_norm': 3.7695841789245605, 'learning_rate': 4.058724504646834e-06, 'epoch': 0.32}
{'loss': 2.1425, 'grad_norm': 4.031559944152832, 'learning_rate': 4.0407570710002585e-06, 'epoch': 0.33}
{'loss': 1.8036, 'grad_norm': 4.873465538024902, 'learning_rate': 4.022660383756443e-06, 'epoch': 0.33}
{'loss': 1.7145, 'grad_norm': 3.5817739963531494, 'learning_rate': 4.0044359610404505e-06, 'epoch': 0.33}
{'loss': 1.9869, 'grad_norm': 4.1085638999938965, 'learning_rate': 3.986085331693028e-06, 'epoch': 0.33}
{'loss': 1.4933, 'grad_norm': 4.236244201660156, 'learning_rate': 3.9676100351423575e-06, 'epoch': 0.34}
{'loss': 1.8581, 'grad_norm': 3.7887306213378906, 'learning_rate': 3.949011621274908e-06, 'epoch': 0.34}
{'loss': 1.9589, 'grad_norm': 3.8511829376220703, 'learning_rate': 3.930291650305424e-06, 'epoch': 0.34}
{'loss': 1.5127, 'grad_norm': 3.76177978515625, 'learning_rate': 3.911451692646031e-06, 'epoch': 0.34}
{'loss': 1.832, 'grad_norm': 3.793564796447754, 'learning_rate': 3.892493328774496e-06, 'epoch': 0.35}
{'loss': 2.0575, 'grad_norm': 5.139676094055176, 'learning_rate': 3.87341814910165e-06, 'epoch': 0.35}
{'loss': 2.1213, 'grad_norm': 4.107692241668701, 'learning_rate': 3.854227753837957e-06, 'epoch': 0.35}
{'loss': 1.8303, 'grad_norm': 3.6446008682250977, 'learning_rate': 3.834923752859282e-06, 'epoch': 0.36}
{'loss': 1.8336, 'grad_norm': 4.001327991485596, 'learning_rate': 3.815507765571832e-06, 'epoch': 0.36}
{'loss': 1.7291, 'grad_norm': 3.9723241329193115, 'learning_rate': 3.7959814207763134e-06, 'epoch': 0.36}
{'loss': 2.2012, 'grad_norm': 5.330476760864258, 'learning_rate': 3.776346356531281e-06, 'epoch': 0.36}
{'loss': 2.1344, 'grad_norm': 4.405793190002441, 'learning_rate': 3.756604220015733e-06, 'epoch': 0.37}
{'loss': 1.735, 'grad_norm': 4.033904552459717, 'learning_rate': 3.736756667390922e-06, 'epoch': 0.37}
{'loss': 1.8557, 'grad_norm': 3.837461471557617, 'learning_rate': 3.716805363661424e-06, 'epoch': 0.37}
{'loss': 1.743, 'grad_norm': 4.606006145477295, 'learning_rate': 3.6967519825354603e-06, 'epoch': 0.38}
{'loss': 1.9129, 'grad_norm': 4.06848669052124, 'learning_rate': 3.6765982062844906e-06, 'epoch': 0.38}
{'loss': 1.8358, 'grad_norm': 4.375674724578857, 'learning_rate': 3.656345725602089e-06, 'epoch': 0.38}
{'loss': 2.1394, 'grad_norm': 4.72890567779541, 'learning_rate': 3.6359962394621094e-06, 'epoch': 0.38}
{'loss': 1.4971, 'grad_norm': 13.704571723937988, 'learning_rate': 3.6155514549761644e-06, 'epoch': 0.39}
{'loss': 2.0482, 'grad_norm': 4.540956497192383, 'learning_rate': 3.5950130872504118e-06, 'epoch': 0.39}
{'loss': 1.1773, 'grad_norm': 2.972567558288574, 'learning_rate': 3.574382859241675e-06, 'epoch': 0.39}
{'loss': 1.802, 'grad_norm': 4.161191940307617, 'learning_rate': 3.5536625016129056e-06, 'epoch': 0.39}
{'loss': 1.5687, 'grad_norm': 3.3749568462371826, 'learning_rate': 3.532853752588002e-06, 'epoch': 0.4}
{'loss': 2.1673, 'grad_norm': 4.295693874359131, 'learning_rate': 3.5119583578059845e-06, 'epoch': 0.4}
{'loss': 1.7984, 'grad_norm': 3.674574613571167, 'learning_rate': 3.4909780701745595e-06, 'epoch': 0.4}
{'loss': 2.1918, 'grad_norm': 4.128340721130371, 'learning_rate': 3.4699146497230634e-06, 'epoch': 0.41}
{'loss': 1.3898, 'grad_norm': 5.243359088897705, 'learning_rate': 3.448769863454819e-06, 'epoch': 0.41}
{'loss': 2.0683, 'grad_norm': 4.122122764587402, 'learning_rate': 3.4275454851989e-06, 'epoch': 0.41}
{'loss': 2.0558, 'grad_norm': 3.6154658794403076, 'learning_rate': 3.4062432954613256e-06, 'epoch': 0.41}
{'loss': 1.3841, 'grad_norm': 3.537640333175659, 'learning_rate': 3.3848650812756947e-06, 'epoch': 0.42}
{'loss': 1.746, 'grad_norm': 4.349514007568359, 'learning_rate': 3.3634126360532694e-06, 'epoch': 0.42}
{'loss': 2.0632, 'grad_norm': 4.069880962371826, 'learning_rate': 3.341887759432532e-06, 'epoch': 0.42}
{'loss': 1.2138, 'grad_norm': 3.7781715393066406, 'learning_rate': 3.3202922571282094e-06, 'epoch': 0.42}
{'loss': 2.0494, 'grad_norm': 4.849846363067627, 'learning_rate': 3.2986279407797927e-06, 'epoch': 0.43}
{'loss': 2.141, 'grad_norm': 5.504289150238037, 'learning_rate': 3.2768966277995606e-06, 'epoch': 0.43}
{'loss': 1.4139, 'grad_norm': 3.6005496978759766, 'learning_rate': 3.2551001412201176e-06, 'epoch': 0.43}
{'loss': 1.971, 'grad_norm': 4.1047749519348145, 'learning_rate': 3.2332403095414593e-06, 'epoch': 0.44}
{'loss': 1.2624, 'grad_norm': 3.254201650619507, 'learning_rate': 3.2113189665775812e-06, 'epoch': 0.44}
{'loss': 1.6594, 'grad_norm': 3.628912925720215, 'learning_rate': 3.189337951302639e-06, 'epoch': 0.44}
{'loss': 1.5304, 'grad_norm': 4.408825874328613, 'learning_rate': 3.1672991076966787e-06, 'epoch': 0.44}
{'loss': 1.559, 'grad_norm': 3.3145220279693604, 'learning_rate': 3.145204284590945e-06, 'epoch': 0.45}
{'loss': 1.7934, 'grad_norm': 4.1326470375061035, 'learning_rate': 3.1230553355127883e-06, 'epoch': 0.45}
{'loss': 2.0239, 'grad_norm': 4.653125286102295, 'learning_rate': 3.1008541185301643e-06, 'epoch': 0.45}
{'loss': 2.2694, 'grad_norm': 4.380918025970459, 'learning_rate': 3.0786024960957666e-06, 'epoch': 0.46}
{'loss': 2.0749, 'grad_norm': 4.729275226593018, 'learning_rate': 3.056302334890786e-06, 'epoch': 0.46}
{'loss': 1.62, 'grad_norm': 3.7006680965423584, 'learning_rate': 3.0339555056683157e-06, 'epoch': 0.46}
{'loss': 1.8563, 'grad_norm': 3.5754525661468506, 'learning_rate': 3.0115638830964123e-06, 'epoch': 0.46}
{'loss': 1.6102, 'grad_norm': 3.9231748580932617, 'learning_rate': 2.98912934560083e-06, 'epoch': 0.47}
{'loss': 1.9464, 'grad_norm': 4.251745700836182, 'learning_rate': 2.9666537752074443e-06, 'epoch': 0.47}
{'loss': 1.7157, 'grad_norm': 4.220999240875244, 'learning_rate': 2.9441390573843654e-06, 'epoch': 0.47}
{'loss': 1.8433, 'grad_norm': 4.464993476867676, 'learning_rate': 2.9215870808837694e-06, 'epoch': 0.47}
{'loss': 1.8651, 'grad_norm': 3.585937976837158, 'learning_rate': 2.8989997375834485e-06, 'epoch': 0.48}
{'loss': 1.5184, 'grad_norm': 3.491391181945801, 'learning_rate': 2.876378922328106e-06, 'epoch': 0.48}
{'loss': 1.8466, 'grad_norm': 3.793065071105957, 'learning_rate': 2.853726532770394e-06, 'epoch': 0.48}
{'loss': 1.8018, 'grad_norm': 3.7439119815826416, 'learning_rate': 2.8310444692117243e-06, 'epoch': 0.49}
{'loss': 1.736, 'grad_norm': 3.6114144325256348, 'learning_rate': 2.808334634442852e-06, 'epoch': 0.49}
{'loss': 1.7569, 'grad_norm': 4.113166809082031, 'learning_rate': 2.7855989335842464e-06, 'epoch': 0.49}
{'loss': 1.7423, 'grad_norm': 3.6847407817840576, 'learning_rate': 2.7628392739262755e-06, 'epoch': 0.49}
{'loss': 1.7808, 'grad_norm': 3.7900869846343994, 'learning_rate': 2.7400575647692046e-06, 'epoch': 0.5}
{'loss': 1.2576, 'grad_norm': 4.120424747467041, 'learning_rate': 2.7172557172630228e-06, 'epoch': 0.5}
{'loss': 1.7344, 'grad_norm': 3.9073116779327393, 'learning_rate': 2.6944356442471186e-06, 'epoch': 0.5}
{'loss': 1.4191, 'grad_norm': 3.3029754161834717, 'learning_rate': 2.6715992600898133e-06, 'epoch': 0.5}
{'loss': 1.8641, 'grad_norm': 4.700930595397949, 'learning_rate': 2.6487484805277623e-06, 'epoch': 0.51}
{'loss': 1.3712, 'grad_norm': 3.5770764350891113, 'learning_rate': 2.6258852225052493e-06, 'epoch': 0.51}
{'loss': 1.9474, 'grad_norm': 4.056019306182861, 'learning_rate': 2.6030114040133714e-06, 'epoch': 0.51}
{'loss': 2.1893, 'grad_norm': 4.3737077713012695, 'learning_rate': 2.580128943929139e-06, 'epoch': 0.52}
{'loss': 2.0048, 'grad_norm': 4.170081615447998, 'learning_rate': 2.557239761854501e-06, 'epoch': 0.52}
{'loss': 2.056, 'grad_norm': 3.8521206378936768, 'learning_rate': 2.5343457779553168e-06, 'epoch': 0.52}
{'loss': 1.7775, 'grad_norm': 3.929703712463379, 'learning_rate': 2.5114489128002655e-06, 'epoch': 0.52}
{'loss': 1.3494, 'grad_norm': 3.770456314086914, 'learning_rate': 2.4885510871997345e-06, 'epoch': 0.53}
{'loss': 1.6364, 'grad_norm': 3.764279842376709, 'learning_rate': 2.4656542220446832e-06, 'epoch': 0.53}
{'loss': 2.0496, 'grad_norm': 4.0946125984191895, 'learning_rate': 2.4427602381454996e-06, 'epoch': 0.53}
{'loss': 1.2932, 'grad_norm': 3.1079294681549072, 'learning_rate': 2.4198710560708623e-06, 'epoch': 0.54}
{'loss': 1.5903, 'grad_norm': 3.525188446044922, 'learning_rate': 2.3969885959866294e-06, 'epoch': 0.54}
{'loss': 1.7362, 'grad_norm': 4.820014953613281, 'learning_rate': 2.374114777494751e-06, 'epoch': 0.54}
{'loss': 1.9833, 'grad_norm': 3.8574020862579346, 'learning_rate': 2.3512515194722385e-06, 'epoch': 0.54}
{'loss': 1.4225, 'grad_norm': 3.571141481399536, 'learning_rate': 2.3284007399101884e-06, 'epoch': 0.55}
{'loss': 1.5084, 'grad_norm': 4.921907424926758, 'learning_rate': 2.3055643557528827e-06, 'epoch': 0.55}
{'loss': 1.6857, 'grad_norm': 5.567206859588623, 'learning_rate': 2.2827442827369776e-06, 'epoch': 0.55}
{'loss': 1.8422, 'grad_norm': 5.13498067855835, 'learning_rate': 2.2599424352307958e-06, 'epoch': 0.55}
{'loss': 2.2245, 'grad_norm': 3.9704527854919434, 'learning_rate': 2.2371607260737253e-06, 'epoch': 0.56}
{'loss': 2.0872, 'grad_norm': 4.4381632804870605, 'learning_rate': 2.214401066415754e-06, 'epoch': 0.56}
{'loss': 1.5031, 'grad_norm': 3.665036916732788, 'learning_rate': 2.1916653655571484e-06, 'epoch': 0.56}
{'loss': 1.5512, 'grad_norm': 3.456217050552368, 'learning_rate': 2.168955530788276e-06, 'epoch': 0.57}
{'loss': 1.5399, 'grad_norm': 4.731370449066162, 'learning_rate': 2.1462734672296066e-06, 'epoch': 0.57}
{'loss': 2.0977, 'grad_norm': 4.564846038818359, 'learning_rate': 2.1236210776718953e-06, 'epoch': 0.57}
{'loss': 1.9318, 'grad_norm': 3.715531587600708, 'learning_rate': 2.1010002624165528e-06, 'epoch': 0.57}
{'loss': 1.76, 'grad_norm': 3.6543238162994385, 'learning_rate': 2.078412919116231e-06, 'epoch': 0.58}
{'loss': 2.1188, 'grad_norm': 4.374285697937012, 'learning_rate': 2.0558609426156346e-06, 'epoch': 0.58}
{'loss': 1.2944, 'grad_norm': 3.1936991214752197, 'learning_rate': 2.033346224792556e-06, 'epoch': 0.58}
{'loss': 1.2425, 'grad_norm': 3.5128307342529297, 'learning_rate': 2.0108706543991704e-06, 'epoch': 0.58}
{'loss': 1.8805, 'grad_norm': 3.800826072692871, 'learning_rate': 1.988436116903589e-06, 'epoch': 0.59}
{'loss': 2.0673, 'grad_norm': 4.484354019165039, 'learning_rate': 1.9660444943316847e-06, 'epoch': 0.59}
{'loss': 1.6415, 'grad_norm': 4.1660075187683105, 'learning_rate': 1.9436976651092143e-06, 'epoch': 0.59}
{'loss': 1.9918, 'grad_norm': 4.140838146209717, 'learning_rate': 1.9213975039042347e-06, 'epoch': 0.6}
{'loss': 1.8495, 'grad_norm': 6.318911552429199, 'learning_rate': 1.899145881469836e-06, 'epoch': 0.6}
{'loss': 1.5312, 'grad_norm': 3.371551275253296, 'learning_rate': 1.8769446644872117e-06, 'epoch': 0.6}
{'loss': 1.5154, 'grad_norm': 5.074915409088135, 'learning_rate': 1.8547957154090545e-06, 'epoch': 0.6}
{'loss': 2.0386, 'grad_norm': 3.8299756050109863, 'learning_rate': 1.8327008923033224e-06, 'epoch': 0.61}
{'loss': 1.7194, 'grad_norm': 4.573063373565674, 'learning_rate': 1.8106620486973616e-06, 'epoch': 0.61}
{'loss': 1.6759, 'grad_norm': 4.587615013122559, 'learning_rate': 1.7886810334224192e-06, 'epoch': 0.61}
{'loss': 1.7375, 'grad_norm': 4.07742166519165, 'learning_rate': 1.766759690458541e-06, 'epoch': 0.62}
{'loss': 1.8822, 'grad_norm': 3.981715679168701, 'learning_rate': 1.7448998587798829e-06, 'epoch': 0.62}
{'loss': 1.483, 'grad_norm': 3.545171022415161, 'learning_rate': 1.7231033722004404e-06, 'epoch': 0.62}
{'loss': 1.8924, 'grad_norm': 5.0219502449035645, 'learning_rate': 1.7013720592202077e-06, 'epoch': 0.62}
