  0%|▎                                                                                                                                                        | 2/1086 [00:03<34:12,  1.89s/it]The following columns in the training set don't have a corresponding argument in `LlamaForCausalLM.forward` and have been ignored: is_prior. If is_prior are not expected by `LlamaForCausalLM.forward`,  you can safely ignore this message.
{'loss': 1.6329, 'grad_norm': 5.071709632873535, 'learning_rate': 2.454545454545455e-06, 'epoch': 0.07}
{'loss': 1.8556, 'grad_norm': 6.751193523406982, 'learning_rate': 2.5454545454545456e-06, 'epoch': 0.08}
{'loss': 1.4114, 'grad_norm': 4.8180413246154785, 'learning_rate': 2.6363636363636364e-06, 'epoch': 0.08}
{'loss': 1.6696, 'grad_norm': 4.59477424621582, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.08}
{'loss': 1.8463, 'grad_norm': 4.894774436950684, 'learning_rate': 2.818181818181818e-06, 'epoch': 0.09}
{'loss': 1.5237, 'grad_norm': 5.26658296585083, 'learning_rate': 2.9090909090909093e-06, 'epoch': 0.09}
{'loss': 2.1474, 'grad_norm': 4.998079299926758, 'learning_rate': 3e-06, 'epoch': 0.09}
{'loss': 1.9475, 'grad_norm': 9.893362045288086, 'learning_rate': 3.090909090909091e-06, 'epoch': 0.09}
{'loss': 1.9585, 'grad_norm': 5.112673759460449, 'learning_rate': 3.181818181818182e-06, 'epoch': 0.1}
{'loss': 2.0265, 'grad_norm': 4.5798492431640625, 'learning_rate': 3.272727272727273e-06, 'epoch': 0.1}
{'loss': 1.9634, 'grad_norm': 4.581719398498535, 'learning_rate': 3.3636363636363637e-06, 'epoch': 0.1}
{'loss': 1.4469, 'grad_norm': 4.876893043518066, 'learning_rate': 3.454545454545455e-06, 'epoch': 0.1}
{'loss': 1.4479, 'grad_norm': 4.03024435043335, 'learning_rate': 3.5454545454545458e-06, 'epoch': 0.11}
{'loss': 1.3848, 'grad_norm': 4.50160026550293, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.11}
{'loss': 1.6588, 'grad_norm': 3.735926628112793, 'learning_rate': 3.727272727272728e-06, 'epoch': 0.11}
{'loss': 1.7804, 'grad_norm': 4.821605205535889, 'learning_rate': 3.818181818181819e-06, 'epoch': 0.12}
{'loss': 1.6326, 'grad_norm': 4.252228260040283, 'learning_rate': 3.90909090909091e-06, 'epoch': 0.12}
{'loss': 2.1642, 'grad_norm': 4.459331035614014, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.12}
{'loss': 2.105, 'grad_norm': 5.970963478088379, 'learning_rate': 4.0909090909090915e-06, 'epoch': 0.12}
{'loss': 1.8842, 'grad_norm': 6.285850524902344, 'learning_rate': 4.181818181818182e-06, 'epoch': 0.13}
{'loss': 1.7172, 'grad_norm': 4.683328628540039, 'learning_rate': 4.272727272727273e-06, 'epoch': 0.13}
{'loss': 1.1215, 'grad_norm': 5.0941033363342285, 'learning_rate': 4.363636363636364e-06, 'epoch': 0.13}
{'loss': 1.8063, 'grad_norm': 4.17612361907959, 'learning_rate': 4.454545454545455e-06, 'epoch': 0.14}
{'loss': 2.0742, 'grad_norm': 4.7603068351745605, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.14}
{'loss': 2.1776, 'grad_norm': 4.965936183929443, 'learning_rate': 4.636363636363636e-06, 'epoch': 0.14}
{'loss': 2.3362, 'grad_norm': 4.502076148986816, 'learning_rate': 4.727272727272728e-06, 'epoch': 0.14}
{'loss': 1.5066, 'grad_norm': 4.108089447021484, 'learning_rate': 4.818181818181819e-06, 'epoch': 0.15}
{'loss': 1.8777, 'grad_norm': 4.568761825561523, 'learning_rate': 4.90909090909091e-06, 'epoch': 0.15}
{'loss': 1.6057, 'grad_norm': 4.301513195037842, 'learning_rate': 5e-06, 'epoch': 0.15}
{'loss': 1.6376, 'grad_norm': 5.488734722137451, 'learning_rate': 4.999988393745438e-06, 'epoch': 0.15}
{'loss': 2.1826, 'grad_norm': 4.6862101554870605, 'learning_rate': 4.999953575089516e-06, 'epoch': 0.16}
{'loss': 1.5344, 'grad_norm': 4.520975589752197, 'learning_rate': 4.999895544355525e-06, 'epoch': 0.16}
{'loss': 1.7953, 'grad_norm': 4.4433674812316895, 'learning_rate': 4.999814302082281e-06, 'epoch': 0.16}
{'loss': 1.7307, 'grad_norm': 4.735583782196045, 'learning_rate': 4.999709849024118e-06, 'epoch': 0.17}
{'loss': 2.0492, 'grad_norm': 4.465429782867432, 'learning_rate': 4.9995821861508844e-06, 'epoch': 0.17}
{'loss': 1.115, 'grad_norm': 3.4150640964508057, 'learning_rate': 4.999431314647929e-06, 'epoch': 0.17}
{'loss': 1.5148, 'grad_norm': 3.774641275405884, 'learning_rate': 4.999257235916096e-06, 'epoch': 0.17}
{'loss': 1.9822, 'grad_norm': 4.458995819091797, 'learning_rate': 4.999059951571705e-06, 'epoch': 0.18}
{'loss': 1.5055, 'grad_norm': 4.555079460144043, 'learning_rate': 4.998839463446543e-06, 'epoch': 0.18}
{'loss': 2.2648, 'grad_norm': 4.373992919921875, 'learning_rate': 4.998595773587844e-06, 'epoch': 0.18}
{'loss': 1.8975, 'grad_norm': 4.149457931518555, 'learning_rate': 4.9983288842582665e-06, 'epoch': 0.18}
{'loss': 1.6685, 'grad_norm': 4.197988986968994, 'learning_rate': 4.998038797935882e-06, 'epoch': 0.19}
{'loss': 1.9953, 'grad_norm': 4.490726947784424, 'learning_rate': 4.9977255173141405e-06, 'epoch': 0.19}
{'loss': 2.0851, 'grad_norm': 4.08356237411499, 'learning_rate': 4.997389045301856e-06, 'epoch': 0.19}
{'loss': 2.0852, 'grad_norm': 4.146036148071289, 'learning_rate': 4.99702938502317e-06, 'epoch': 0.2}
{'loss': 1.9766, 'grad_norm': 3.832411527633667, 'learning_rate': 4.996646539817531e-06, 'epoch': 0.2}
{'loss': 1.3914, 'grad_norm': 3.59152889251709, 'learning_rate': 4.996240513239658e-06, 'epoch': 0.2}
{'loss': 2.02, 'grad_norm': 4.018549919128418, 'learning_rate': 4.995811309059509e-06, 'epoch': 0.2}
{'loss': 1.6469, 'grad_norm': 4.026218414306641, 'learning_rate': 4.995358931262246e-06, 'epoch': 0.21}
{'loss': 1.5762, 'grad_norm': 3.7688231468200684, 'learning_rate': 4.9948833840482e-06, 'epoch': 0.21}
{'loss': 1.5955, 'grad_norm': 3.653012990951538, 'learning_rate': 4.994384671832827e-06, 'epoch': 0.21}
{'loss': 2.0394, 'grad_norm': 4.909158229827881, 'learning_rate': 4.993862799246672e-06, 'epoch': 0.22}
{'loss': 1.8413, 'grad_norm': 3.8047916889190674, 'learning_rate': 4.993317771135324e-06, 'epoch': 0.22}
{'loss': 2.0005, 'grad_norm': 4.963235855102539, 'learning_rate': 4.992749592559372e-06, 'epoch': 0.22}
{'loss': 1.7444, 'grad_norm': 3.9266936779022217, 'learning_rate': 4.992158268794355e-06, 'epoch': 0.22}
{'loss': 2.0875, 'grad_norm': 4.07414436340332, 'learning_rate': 4.991543805330716e-06, 'epoch': 0.23}
{'loss': 1.9278, 'grad_norm': 3.788699150085449, 'learning_rate': 4.990906207873753e-06, 'epoch': 0.23}
{'loss': 1.9869, 'grad_norm': 7.507997512817383, 'learning_rate': 4.990245482343556e-06, 'epoch': 0.23}
{'loss': 1.9084, 'grad_norm': 4.107779026031494, 'learning_rate': 4.989561634874969e-06, 'epoch': 0.23}
{'loss': 1.319, 'grad_norm': 3.4890236854553223, 'learning_rate': 4.988854671817516e-06, 'epoch': 0.24}
{'loss': 1.4885, 'grad_norm': 3.5260698795318604, 'learning_rate': 4.988124599735351e-06, 'epoch': 0.24}
{'loss': 2.4183, 'grad_norm': 4.207747936248779, 'learning_rate': 4.9873714254071966e-06, 'epoch': 0.24}
{'loss': 1.6191, 'grad_norm': 3.9182233810424805, 'learning_rate': 4.986595155826279e-06, 'epoch': 0.25}
{'loss': 1.302, 'grad_norm': 3.093893527984619, 'learning_rate': 4.985795798200265e-06, 'epoch': 0.25}
{'loss': 1.9725, 'grad_norm': 4.3514862060546875, 'learning_rate': 4.984973359951192e-06, 'epoch': 0.25}
{'loss': 2.038, 'grad_norm': 4.304521560668945, 'learning_rate': 4.984127848715402e-06, 'epoch': 0.25}
{'loss': 1.5584, 'grad_norm': 4.549368381500244, 'learning_rate': 4.98325927234347e-06, 'epoch': 0.26}
{'loss': 1.792, 'grad_norm': 3.838214635848999, 'learning_rate': 4.982367638900132e-06, 'epoch': 0.26}
{'loss': 1.7568, 'grad_norm': 3.9708127975463867, 'learning_rate': 4.9814529566642065e-06, 'epoch': 0.26}
{'loss': 1.4204, 'grad_norm': 4.472683906555176, 'learning_rate': 4.980515234128522e-06, 'epoch': 0.26}
{'loss': 1.8209, 'grad_norm': 3.842014789581299, 'learning_rate': 4.979554479999836e-06, 'epoch': 0.27}
{'loss': 2.1325, 'grad_norm': 4.309586048126221, 'learning_rate': 4.978570703198754e-06, 'epoch': 0.27}
{'loss': 1.6229, 'grad_norm': 3.7134697437286377, 'learning_rate': 4.977563912859645e-06, 'epoch': 0.27}
{'loss': 1.6493, 'grad_norm': 3.710371971130371, 'learning_rate': 4.976534118330565e-06, 'epoch': 0.28}
{'loss': 1.6294, 'grad_norm': 3.797791004180908, 'learning_rate': 4.975481329173156e-06, 'epoch': 0.28}
{'loss': 2.01, 'grad_norm': 4.211127281188965, 'learning_rate': 4.974405555162571e-06, 'epoch': 0.28}
{'loss': 2.2813, 'grad_norm': 4.597654819488525, 'learning_rate': 4.973306806287376e-06, 'epoch': 0.28}
{'loss': 1.246, 'grad_norm': 3.2880892753601074, 'learning_rate': 4.972185092749458e-06, 'epoch': 0.29}
{'loss': 2.2331, 'grad_norm': 5.213748931884766, 'learning_rate': 4.971040424963931e-06, 'epoch': 0.29}
{'loss': 1.5345, 'grad_norm': 3.7305006980895996, 'learning_rate': 4.969872813559039e-06, 'epoch': 0.29}
{'loss': 1.9994, 'grad_norm': 21.207225799560547, 'learning_rate': 4.96868226937606e-06, 'epoch': 0.3}
{'loss': 1.7953, 'grad_norm': 3.768946409225464, 'learning_rate': 4.967468803469199e-06, 'epoch': 0.3}
{'loss': 1.6152, 'grad_norm': 3.647765636444092, 'learning_rate': 4.966232427105493e-06, 'epoch': 0.3}
{'loss': 2.0886, 'grad_norm': 4.373005390167236, 'learning_rate': 4.9649731517647e-06, 'epoch': 0.3}
{'loss': 2.3079, 'grad_norm': 4.389108657836914, 'learning_rate': 4.963690989139196e-06, 'epoch': 0.31}
{'loss': 1.5441, 'grad_norm': 3.8797104358673096, 'learning_rate': 4.9623859511338664e-06, 'epoch': 0.31}
{'loss': 1.6803, 'grad_norm': 4.047841548919678, 'learning_rate': 4.961058049865994e-06, 'epoch': 0.31}
{'loss': 1.5223, 'grad_norm': 3.6093761920928955, 'learning_rate': 4.959707297665146e-06, 'epoch': 0.31}
{'loss': 1.9776, 'grad_norm': 3.7642781734466553, 'learning_rate': 4.9583337070730625e-06, 'epoch': 0.32}
{'loss': 1.5732, 'grad_norm': 5.572599411010742, 'learning_rate': 4.956937290843537e-06, 'epoch': 0.32}
{'loss': 1.9798, 'grad_norm': 3.781878709793091, 'learning_rate': 4.955518061942298e-06, 'epoch': 0.32}
{'loss': 2.1457, 'grad_norm': 4.094905853271484, 'learning_rate': 4.954076033546892e-06, 'epoch': 0.33}
{'loss': 1.9655, 'grad_norm': 4.239355087280273, 'learning_rate': 4.952611219046559e-06, 'epoch': 0.33}
{'loss': 1.7202, 'grad_norm': 3.556705951690674, 'learning_rate': 4.951123632042104e-06, 'epoch': 0.33}
{'loss': 1.9935, 'grad_norm': 3.9725914001464844, 'learning_rate': 4.949613286345781e-06, 'epoch': 0.33}
{'loss': 1.5724, 'grad_norm': 3.9664647579193115, 'learning_rate': 4.948080195981154e-06, 'epoch': 0.34}
{'loss': 1.8635, 'grad_norm': 3.8314454555511475, 'learning_rate': 4.946524375182973e-06, 'epoch': 0.34}
{'loss': 1.9148, 'grad_norm': 3.8775174617767334, 'learning_rate': 4.9449458383970386e-06, 'epoch': 0.34}
{'loss': 1.5237, 'grad_norm': 4.010980129241943, 'learning_rate': 4.943344600280071e-06, 'epoch': 0.34}
{'loss': 1.849, 'grad_norm': 3.867095470428467, 'learning_rate': 4.941720675699573e-06, 'epoch': 0.35}
{'loss': 2.0629, 'grad_norm': 5.579708576202393, 'learning_rate': 4.94007407973369e-06, 'epoch': 0.35}
{'loss': 2.1273, 'grad_norm': 4.230715274810791, 'learning_rate': 4.93840482767107e-06, 'epoch': 0.35}
{'loss': 1.837, 'grad_norm': 3.913031578063965, 'learning_rate': 4.9367129350107265e-06, 'epoch': 0.36}
{'loss': 1.8509, 'grad_norm': 4.135018348693848, 'learning_rate': 4.934998417461888e-06, 'epoch': 0.36}
{'loss': 1.7396, 'grad_norm': 4.1655473709106445, 'learning_rate': 4.933261290943856e-06, 'epoch': 0.36}
{'loss': 2.0819, 'grad_norm': 4.377862453460693, 'learning_rate': 4.931501571585858e-06, 'epoch': 0.36}
{'loss': 2.1588, 'grad_norm': 4.519053936004639, 'learning_rate': 4.929719275726893e-06, 'epoch': 0.37}
{'loss': 1.7447, 'grad_norm': 4.133017539978027, 'learning_rate': 4.927914419915585e-06, 'epoch': 0.37}
{'loss': 1.857, 'grad_norm': 3.394008159637451, 'learning_rate': 4.926087020910027e-06, 'epoch': 0.37}
{'loss': 1.7526, 'grad_norm': 5.989565849304199, 'learning_rate': 4.924237095677625e-06, 'epoch': 0.38}
{'loss': 1.919, 'grad_norm': 4.027459621429443, 'learning_rate': 4.922364661394943e-06, 'epoch': 0.38}
{'loss': 1.8379, 'grad_norm': 3.9082064628601074, 'learning_rate': 4.920469735447538e-06, 'epoch': 0.38}
{'loss': 2.137, 'grad_norm': 4.291885852813721, 'learning_rate': 4.918552335429806e-06, 'epoch': 0.38}
{'loss': 1.5356, 'grad_norm': 4.823712348937988, 'learning_rate': 4.916612479144812e-06, 'epoch': 0.39}
{'loss': 1.8921, 'grad_norm': 4.1348066329956055, 'learning_rate': 4.9146501846041304e-06, 'epoch': 0.39}
{'loss': 1.1843, 'grad_norm': 3.2279510498046875, 'learning_rate': 4.912665470027671e-06, 'epoch': 0.39}
{'loss': 1.8088, 'grad_norm': 4.212569236755371, 'learning_rate': 4.910658353843517e-06, 'epoch': 0.39}
{'loss': 1.5761, 'grad_norm': 3.6303019523620605, 'learning_rate': 4.90862885468775e-06, 'epoch': 0.4}
{'loss': 2.111, 'grad_norm': 5.473335266113281, 'learning_rate': 4.906576991404276e-06, 'epoch': 0.4}
{'loss': 1.8044, 'grad_norm': 3.716581344604492, 'learning_rate': 4.904502783044654e-06, 'epoch': 0.4}
{'loss': 2.1963, 'grad_norm': 4.234577178955078, 'learning_rate': 4.9024062488679145e-06, 'epoch': 0.41}
{'loss': 1.3921, 'grad_norm': 5.044149398803711, 'learning_rate': 4.900287408340387e-06, 'epoch': 0.41}
{'loss': 1.8445, 'grad_norm': 4.226293087005615, 'learning_rate': 4.898146281135514e-06, 'epoch': 0.41}
{'loss': 2.0652, 'grad_norm': 3.7949140071868896, 'learning_rate': 4.8959828871336665e-06, 'epoch': 0.41}
{'loss': 1.6851, 'grad_norm': 4.593334197998047, 'learning_rate': 4.893797246421968e-06, 'epoch': 0.42}
{'loss': 1.7558, 'grad_norm': 4.2796525955200195, 'learning_rate': 4.8915893792941e-06, 'epoch': 0.42}
{'loss': 2.0353, 'grad_norm': 4.05363655090332, 'learning_rate': 4.889359306250117e-06, 'epoch': 0.42}
{'loss': 1.2215, 'grad_norm': 3.514052152633667, 'learning_rate': 4.887107047996253e-06, 'epoch': 0.42}
{'loss': 2.0558, 'grad_norm': 3.994443893432617, 'learning_rate': 4.884832625444738e-06, 'epoch': 0.43}
{'loss': 2.1469, 'grad_norm': 5.522124290466309, 'learning_rate': 4.882536059713592e-06, 'epoch': 0.43}
{'loss': 1.3374, 'grad_norm': 3.563361644744873, 'learning_rate': 4.880217372126436e-06, 'epoch': 0.43}
{'loss': 1.983, 'grad_norm': 4.343421936035156, 'learning_rate': 4.877876584212292e-06, 'epoch': 0.44}
{'loss': 1.2737, 'grad_norm': 3.400010347366333, 'learning_rate': 4.875513717705385e-06, 'epoch': 0.44}
{'loss': 1.6716, 'grad_norm': 3.690265655517578, 'learning_rate': 4.87312879454494e-06, 'epoch': 0.44}
{'loss': 1.5432, 'grad_norm': 4.249798774719238, 'learning_rate': 4.8707218368749755e-06, 'epoch': 0.44}
{'loss': 1.5667, 'grad_norm': 3.3239450454711914, 'learning_rate': 4.868292867044104e-06, 'epoch': 0.45}
{'loss': 1.9062, 'grad_norm': 4.038012981414795, 'learning_rate': 4.865841907605319e-06, 'epoch': 0.45}
{'loss': 2.0414, 'grad_norm': 4.449443340301514, 'learning_rate': 4.863368981315786e-06, 'epoch': 0.45}
{'loss': 2.321, 'grad_norm': 4.6470489501953125, 'learning_rate': 4.860874111136637e-06, 'epoch': 0.46}
{'loss': 1.9161, 'grad_norm': 4.490438938140869, 'learning_rate': 4.858357320232749e-06, 'epoch': 0.46}
{'loss': 1.6312, 'grad_norm': 3.662775993347168, 'learning_rate': 4.855818631972535e-06, 'epoch': 0.46}
{'loss': 1.8639, 'grad_norm': 3.633894443511963, 'learning_rate': 4.8532580699277256e-06, 'epoch': 0.46}
{'loss': 1.6132, 'grad_norm': 3.8704376220703125, 'learning_rate': 4.850675657873149e-06, 'epoch': 0.47}
{'loss': 1.9586, 'grad_norm': 4.2311835289001465, 'learning_rate': 4.848071419786509e-06, 'epoch': 0.47}
{'loss': 1.7397, 'grad_norm': 4.418992042541504, 'learning_rate': 4.845445379848167e-06, 'epoch': 0.47}
{'loss': 1.8899, 'grad_norm': 4.960460186004639, 'learning_rate': 4.842797562440913e-06, 'epoch': 0.47}
{'loss': 1.8733, 'grad_norm': 3.7565953731536865, 'learning_rate': 4.8401279921497405e-06, 'epoch': 0.48}
{'loss': 1.526, 'grad_norm': 3.421752452850342, 'learning_rate': 4.83743669376162e-06, 'epoch': 0.48}
{'loss': 1.8949, 'grad_norm': 5.812871932983398, 'learning_rate': 4.834723692265268e-06, 'epoch': 0.48}
{'loss': 1.805, 'grad_norm': 3.838188409805298, 'learning_rate': 4.8319890128509115e-06, 'epoch': 0.49}
{'loss': 1.7418, 'grad_norm': 3.703430652618408, 'learning_rate': 4.82923268091006e-06, 'epoch': 0.49}
{'loss': 1.8376, 'grad_norm': 3.8885738849639893, 'learning_rate': 4.8264547220352655e-06, 'epoch': 0.49}
{'loss': 1.7471, 'grad_norm': 3.6593973636627197, 'learning_rate': 4.823655162019886e-06, 'epoch': 0.49}
{'loss': 1.7959, 'grad_norm': 3.8867878913879395, 'learning_rate': 4.820834026857846e-06, 'epoch': 0.5}
{'loss': 1.2588, 'grad_norm': 4.2993903160095215, 'learning_rate': 4.817991342743396e-06, 'epoch': 0.5}
{'loss': 1.7506, 'grad_norm': 4.47965145111084, 'learning_rate': 4.8151271360708704e-06, 'epoch': 0.5}
{'loss': 1.4285, 'grad_norm': 3.4298815727233887, 'learning_rate': 4.812241433434436e-06, 'epoch': 0.5}
{'loss': 2.0155, 'grad_norm': 5.675656318664551, 'learning_rate': 4.8093342616278525e-06, 'epoch': 0.51}
{'loss': 1.382, 'grad_norm': 3.7576587200164795, 'learning_rate': 4.806405647644222e-06, 'epoch': 0.51}
{'loss': 1.9713, 'grad_norm': 3.9540505409240723, 'learning_rate': 4.803455618675736e-06, 'epoch': 0.51}
{'loss': 2.1943, 'grad_norm': 4.367489337921143, 'learning_rate': 4.800484202113423e-06, 'epoch': 0.52}
